ID,Default short code
88,PorRus
60,Astreo
74,Porites
58,Acanth
1261,Anoma
87,Blast
61,Cypha
69,Montastr
77,Styloc
73,Pocill
70,Monti
64,Gardineros
67,Leptoseris
72,Pavona
78,Tubastrea
94,Seagrass
81,MAL
63,Fungia
68,Lobophyl
99,Echinopora
204,Acr_bra
66,Lepta
92,Algae
79,Millepora
71,Pachyseris
75,Psammo
91,HC
82,Turf
95,Sediment
80,SC
132,PorCyl
130,Goniopora
145,cucumber
134,Collimorph
138,Lobophora
129,AcrHum
127,AcrHya
126,AcrMille
109,AGARICIIDA
113,PorAstr
133,Zoanthid
124,C-Rubble
117,Goniastrea
115,Favites
105,D_coral
116,Platy
119,B_HC
139,AL_fleshy
110,MontaCav
107,Transect
190,Cosci
164,Diplo
185,Styloph
170,POCIL
154,MontiStel
168,ACR_br
150,Isopora
192,Echinophyl
189,Seriatop
171,POR_mas
183,SP_mass
3093,HC_arb
111,SidSid
216,B_Porit
224,B_Goniop
201,Merulina
199,Turbinaria
4105,Junceella
200,Symph
211,B_Echinop
212,B_Monti
218,Asparago
227,ASCD
239,HC_encr
3241,SidStel
2562,Jania
605,Acr_enc
387,Madracis
385,Isophyllia
390,Mycetophy
444,PorComp
443,PorBrig
448,PocDam
438,MontiCap
420,PocLig
439,MontiFlab
440,MontiPat
447,PorMont
428,Padina
446,PorEverm
423,Caulerpa
403,Halimeda
422,Dictyosph
449,PocGran
418,Neomeris
452,Microdicty
429,Sargassum
441,PavDue
442,PavVar
407,AplFist
415,AmphComp
406,AplArch
474,Siderastr
461,WATER
460,FISH
515,Rock
3404,B_LobScut
621,Monti_encr
602,Acr_dig
600,Acr_arb
603,Acr_arbTab
601,Acr_hisp
611,Astreo_enc
613,Astreo_mas
608,Ctena
633,Heliop
599,PocVer
610,Euphyllia
643,AL_fol
623,Leptoria
637,GiCl
609,Plero
606,Acr_plat
620,Monti_br
634,TubiMus
642,AL_filam
1176,PorFurc
782,StPis
770,B_StPis
760,Galaxea
804,ACR_hi
774,B_Fungia
809,CymSer
813,sand_mud
815,Mud
971,FavHal
972,FavPent
1035,PsamStell
1250,OcuPat
1187,DiplLab
238,HC_fol
1645,PsamAlb
237,HC_massive
1773,DenCyl
792,CCA_Rub
1126,Mobile
1376,SidRad
1866,PsamNier
1371,PorBran
1357,AgAga
1358,AgFra
1359,AgGra
1360,AgLam
1361,ClaArb
1374,PseuStrig
1373,PseuCliv
1369,OrbFav
1368,OrbAnn
1370,OrbFrank
1364,MadAure
1362,IsophRig
1363,IsophSin
1366,MycetAli
1367,MycetFer
3099,HC_bushy
1378,StephInt
89,PorLob
1389,Pterogorg
1410,St_bra
1413,Por_branch
1402,Sand_soft
1457,Rubble
1544,AcrDown
1788,PorPor
1570,PorHar
1551,MadKirb
1546,AcrPhar
1547,AcrArab
1556,CyphSer
1555,CyphMic
1550,MontiSpon
1177,PorDiv
1564,TurPel
1566,TurRen
1565,HetAeq
1559,PlesVers
1775,Dicho_stok
1573,SidSav
1574,AnIrr
1577,CoCol
1576,PsamCon
1571,PorLut
1572,GonioLob
191,FUNGIID
1614,Plesiastr
1578,PavExp
353,gastropod
1648,COT
1612,Phyma
1639,sed_fine
1638,sed_thick
1780,MadCarm
1777,FaviaFrag
1768,AcrCerv
1769,AcrPalm
1766,AgTen
1770,AgUnd
1772,CoNat
1781,MadDeca
1802,GORGONII
1784,MadPhar
1785,MycetDan
1786,MycetLam
3972,AstreoGra
4521,B_PocLig
2486,AspaArm
